,date,quantity
0,31/01/12,13280.0
1,31/01/12,6727.0
2,31/01/12,9848.0
3,31/01/12,20050.0
4,31/01/12,25696.0
5,31/01/12,15041.0
6,31/01/12,34578.0
7,31/01/12,44734.0
8,31/01/12,18623.0
9,31/01/12,9645.0
10,31/01/12,19818.0
11,31/01/12,8943.0
12,31/01/12,15073.0
13,31/01/12,11174.0
14,31/01/12,21063.0
15,31/01/12,21720.0
16,31/01/12,54780.0
17,31/01/12,41378.0
18,31/01/12,30757.0
19,31/01/12,49688.0
20,31/01/12,18582.0
21,31/01/12,10348.0
22,31/01/12,29015.0
23,31/01/12,17474.0
24,31/01/12,8361.0
25,31/01/12,26782.0
26,31/01/12,19841.0
27,31/01/12,14917.0
28,31/01/12,26581.0
29,31/01/12,30586.0
30,31/01/12,66314.0
31,31/01/12,56428.0
32,31/01/12,47386.0
33,31/01/12,77667.0
34,31/01/12,16090.0
35,31/01/12,17127.0
36,31/01/12,11306.0
37,31/01/12,16018.0
38,31/01/12,12674.0
39,31/01/12,30194.0
40,31/01/12,23346.0
41,31/01/12,12835.0
42,31/01/12,40722.0
43,31/01/12,48918.0
44,31/01/12,27727.0
45,31/01/12,16352.0
46,31/01/12,5630.0
47,31/01/12,5891.0
48,31/01/12,12339.0
49,31/01/12,9720.0
50,31/01/12,12035.0
51,31/01/12,17298.0
52,31/01/12,10483.0
53,31/01/12,16545.0
54,31/01/12,35931.0
55,31/01/12,14480.0
56,31/01/12,21997.0
57,31/01/12,7495.0
58,31/01/12,14887.0
59,31/01/12,9126.0
60,31/01/12,17878.0
61,31/01/12,24301.0
62,31/01/12,16161.0
63,31/01/12,39554.0
64,31/01/12,27498.0
65,31/01/12,26495.0
66,31/01/12,41445.0
67,31/01/12,13940.0
68,31/01/12,16123.0
69,31/01/12,8868.0
70,31/01/12,19886.0
71,31/01/12,19572.0
72,31/01/12,12100.0
73,31/01/12,5089.0
74,31/01/12,20401.0
75,31/01/12,16367.0
76,31/01/12,25347.0
77,31/01/12,15126.0
78,31/01/12,26717.0
79,31/01/12,42833.0
80,31/01/12,11406.0
81,31/01/12,38696.0
82,31/01/12,39056.0
83,31/01/12,12229.0
84,31/01/12,13970.0
85,31/01/12,5330.0
86,31/01/12,26884.0
87,31/01/12,15702.0
88,31/01/12,14309.0
89,31/01/12,21095.0
90,29/02/12,10799.0
91,29/02/12,7114.0
92,29/02/12,8616.0
93,29/02/12,29463.0
94,29/02/12,16695.0
95,29/02/12,5777.0
96,29/02/12,11362.0
97,29/02/12,7946.0
98,29/02/12,41963.0
99,29/02/12,17446.0
